symptom	prevalence
Smell loss	9.74454249883883
Taste loss	8.36042731072922
Rhinorrhea	18.3743613562471
Dry cough	21.0496980956804
Productive cough	3.51137947050627
Cold	14.6214584300975
Diarrhea	14.0455178820251
Sore throat	16.7580120761728
Myalgia	20.9382257315374
Headache	27.8866697631212
Fever	11.5281003251277
Shortness breath	11.8903855085927
Fatigue	26.2610311193683
Abdominal pain	11.769623780771
Extremities redness pain	4.09660938225731
Pink eye	5.83372039015327
